date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,F13,F14,F15
2020-04-15 15:22:26.000,WHO,NULL,17,80,221,"""We are committed to serving the world鈥檚 people, and to accountability for the resources with which we are entrusted""-@DrTedros #COVID19",NULL,@DrTedros,#COVID19,1.25044437653227E+18,https://twitter.com/WHO/status/1250444376532279296,NULL,NULL,NULL
2020-04-15 15:22:00.000,WHO,NULL,22,86,255,"""Neither do we. This is a time for all of us to be united in our common struggle against a common threat. When we are divided, the #coronavirus exploits the cracks between us""-@DrTedros #COVID19",NULL,@DrTedros,#coronavirus #COVID19,1.25044426962367E+18,https://twitter.com/WHO/status/1250444269623676929,NULL,NULL,NULL
2020-04-15 15:21:37.000,WHO,NULL,25,136,314,"""#COVID19 does not discriminate between rich nations and poor, large nations and small. It does not discriminate between nationalities, ethnicities or ideologies""-@DrTedros",NULL,@DrTedros,#COVID19,1.25044417182507E+18,https://twitter.com/WHO/status/1250444171825078278,NULL,NULL,NULL
2020-04-15 15:20:55.000,WHO,NULL,116,277,669,"WHO is reviewing the impact on our work of any withdrawal of funding and will work with our partners to fill any financial gaps we face and to ensure our work continues uninterrupted"-@DrTedros #COVID19,NULL,@DrTedros,#COVID19,1.25044399696434E+18,https://twitter.com/WHO/status/1250443996964347905,NULL,NULL,NULL
2020-04-15 15:20:18.000,WHO,NULL,30,217,574,"""WHO is not only fighting #COVID19. We鈥檙e also working to address polio, measles, malaria, Ebola, HIV, tuberculosis, malnutrition, cancer, diabetes, mental health and many other diseases and conditions""-@DrTedros",NULL,@DrTedros,#COVID19,1.25044383928791E+18,https://twitter.com/WHO/status/1250443839287914499,NULL,NULL,NULL
2020-04-15 15:14:08.000,WHO,NULL,959,1798,3971,Media briefing on #COVID19 with @DrTedros. #coronavirus,NULL,@DrTedros,#COVID19 #coronavirus,1.25044228808324E+18,https://twitter.com/WHO/status/1250442288083243010,NULL,NULL,NULL
2020-04-14 18:45:20.000,WHO,NULL,364,870,1643,WHO updates #COVID19 dashboard with better data visualization https://bit.ly/2xvov2L #coronavirus,NULL,NULL,#COVID19 #coronavirus,1.25013305103788E+18,https://twitter.com/WHO/status/1250133051037884416,NULL,NULL,NULL
2020-04-14 13:55:09.000,WHO,NULL,45,96,336,"If you suspect infection with #COVID19 &amp; are undergoing treatment for #ChagasDisease, inform your health professional to ensure you receive the best possible care https://bit.ly/2V5o6wU",NULL,NULL,#COVID19 #ChagasDisease,1.25006002427524E+18,https://twitter.com/WHO/status/1250060024275243011,NULL,NULL,NULL
2020-04-14 13:24:40.000,WHO,NULL,20,57,189,"As #COVID19 continues to spread globally, #measles immunization campaigns in 24 countries have already been delayed; more will be postponed https://bit.ly/3cfNjup #coronavirus",NULL,NULL,#COVID19 #measles #coronavirus,1.25005235496511E+18,https://twitter.com/WHO/status/1250052354965110785,NULL,NULL,NULL
2020-04-14 10:35:39.000,WHO,NULL,15,45,203,New WHO guidelines endorsed by the Strategic Advisory Group of Experts on Immunization aim to help countries to sustain immunization activities during the #COVID19 pandemic https://bit.ly/3a8yXL5 #coronavirus,NULL,NULL,#COVID19 #coronavirus,1.25000981938749E+18,https://twitter.com/WHO/status/1250009819387494400,NULL,NULL,NULL
2020-04-14 10:32:09.000,WHO,NULL,7,23,121,"The cargo also includes a large quantity of medical supplies donated by Prime Minister @AbiyAhmedAli &amp; @foundation_ma to reverse #COVID19 in Africa. The @_AfricanUnion, through the @AfricaCDC is providing technical support &amp; coordination for the d",NULL,@AbiyAhmedAli @foundation_ma @_AfricanUnion @AfricaCDC,#COVID19,1.25000893789572E+18,https://twitter.com/WHO/status/1250008937895727104,NULL,NULL,NULL
2020-04-14 10:20:30.000,WHO,WFP,69,67,261,"WHO cargo is being transported by the @WFP, and includes face shields, gloves, goggles, gowns, masks, medical aprons and thermometers, as well as ventilators https://bit.ly/2V5iyCP #COVID19",NULL,@WFP,#COVID19,1.25000600752007E+18,https://twitter.com/WHO/status/1250006007520079873,NULL,NULL,NULL
2020-04-14 10:17:55.000,WHO,NULL,110,374,1289,"The first @UN 鈥淪olidarity Flight鈥?is scheduled to leave Addis Ababa, #Ethiopia, today - from there, the aircraft will transport the vital medical cargo to all countries in Africa, where supplies are desperately needed to contain the spread of #COVID19 htt",NULL,@UN,#Ethiopia #COVID19,1.2500053551171E+18,https://twitter.com/WHO/status/1250005355117109248,NULL,NULL,NULL
2020-04-14 09:59:54.000,WHO,NULL,53,377,819,"More than 117 million children risk missing out on #measles vaccines, as #COVID19 surges: @MeaslesRubella Initiative https://bit.ly/3cfNjup #coronavirus",NULL,@MeaslesRubella,#measles #COVID19 #coronavirus,1.25000082150644E+18,https://twitter.com/WHO/status/1250000821506449408,NULL,NULL,NULL
2020-04-13 21:01:18.000,WHO,NULL,40,109,259,"As part of its response to the #COVID19 outbreak, WHO has activated its R&amp;D Blueprint initiative to accelerate the development of diagnostics, vaccines and therapeutics for the new #coronavirus. https://bit.ly/2xgbwC4",NULL,NULL,#COVID19 #coronavirus,1.2498048791341E+18,https://twitter.com/WHO/status/1249804879134109697,NULL,NULL,NULL
2020-04-13 21:00:42.000,WHO,NULL,67,190,486,The experts are asking everyone to follow recommendations to prevent the transmission of the #COVID19 and protect the health of all of us. They also thank everyone for trusting the scientific community.,NULL,NULL,#COVID19,1.24980472935556E+18,https://twitter.com/WHO/status/1249804729355567109,NULL,NULL,NULL
2020-04-13 21:00:04.000,WHO,NULL,173,538,1235,"Under WHO鈥檚 coordination, a group of experts from across the world is working towards the development of vaccines against #COVID19. Here is the full list of experts: https://bit.ly/3a7s38C #coronavirus",NULL,NULL,#COVID19 #coronavirus,1.24980457041655E+18,https://twitter.com/WHO/status/1249804570416553984,NULL,NULL,NULL
2020-04-13 18:27:16.000,WHO,NULL,18,109,237,"In the absence of evidence, WHO does not recommend BCG vaccination for the prevention of #COVID19. WHO continues to recommend neonatal BCG vaccination in countries or settings with a high incidence of #tuberculosis. https://bit.ly/3a9Xi2R",NULL,NULL,#COVID19 #tuberculosis,1.24976611665166E+18,https://twitter.com/WHO/status/1249766116651663362,NULL,NULL,NULL
2020-04-13 18:27:16.000,WHO,NULL,68,378,686,There is no evidence that the Bacille Calmette-Gu茅rin vaccine (BCG) protects people against infection with #COVID19. Two clinical trials addressing this question are underway &amp; WHO will evaluate the evidence when it is available. https://bit.ly/3a9Xi2,NULL,NULL,#COVID19,1.24976611511653E+18,https://twitter.com/WHO/status/1249766115116539905,NULL,NULL,NULL
2020-04-13 18:00:47.000,WHO,NULL,102,385,886,"If #HealthWorkers are at risk of #COVID19, we are all at risk. To stay safe, they need training &amp; personal protective equipment. - We have online courses at http://OpenWHO.org in many languages - We work with private sector, partners to send supplies ",NULL,NULL,#HealthWorkers #COVID19 #ThanksHealthHeroes,1.24975945140767E+18,https://twitter.com/WHO/status/1249759451407679492,NULL,NULL,NULL
2020-04-13 15:43:55.000,WHO,NULL,127,125,306,The full briefing on #COVID19 by @DrTedros ,NULL,@DrTedros,#COVID19,1.24972500980063E+18,https://twitter.com/WHO/status/1249725009800630274,NULL,NULL,NULL
2020-04-13 15:37:54.000,WHO,NULL,33,107,345,"""In an editorial last week, development ministers from the , , , , , and calling on all countries to join this common endeavour. They said that tackling this disease together is our only option. I couldn鈥檛 agree more""-@DrTedros #COVID19 #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.24972349412603E+18,https://twitter.com/WHO/status/1249723494126039042,NULL,NULL,NULL
2020-04-13 15:37:54.000,WHO,DrTedros,27,97,257,"I would like to thank the for its generous contribution of 拢200M to the global response to #COVID19. We greatly appreciate this demonstration of global solidarity"-@DrTedros,NULL,@DrTedros,#COVID19,1.24972349264533E+18,https://twitter.com/WHO/status/1249723492645339137,NULL,NULL,NULL
2020-04-13 15:35:09.000,WHO,NULL,38,198,309,"""Our global connectedness means the risk of re-introduction and resurgence of #COVID19 will continue. Ultimately, the development and delivery of a safe and effective vaccine will be needed to fully interrupt transmission""-@DrTedros #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.2497228023385E+18,https://twitter.com/WHO/status/1249722802338508803,NULL,NULL,NULL
2020-04-13 15:33:50.000,WHO,NULL,12,126,255,"""As the #COVID19 pandemic has spread, its public health and socioeconomic impacts have been profound, and have disproportionately affected the vulnerable. Many populations have already experienced a lack of access to routine, essential health services""-@D",NULL,@DrTedros,#COVID19 #coronavirus,1.2497224721125E+18,https://twitter.com/WHO/status/1249722472112500738,NULL,NULL,NULL
2020-04-13 15:33:22.000,WHO,NULL,13,124,249,"""Countries must balance between measures that address the mortality caused by #COVID19, and from other diseases due to overwhelmed health systems, as well as the social economic impacts""-@DrTedros #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.2497223553599E+18,https://twitter.com/WHO/status/1249722355359907846,NULL,NULL,NULL
2020-04-13 15:32:50.000,WHO,NULL,14,203,290,""" communities are fully educated, engaged &amp; empowered to adjust to the 鈥渘ew norm鈥? Every country should implement a comprehensive set of measures to slow down #COVID19 transmission &amp; save lives, with the aim of reaching a steady state of low-level",NULL,@DrTedros,#COVID19,1.24972222068075E+18,https://twitter.com/WHO/status/1249722220680753152,NULL,NULL,NULL
2020-04-13 15:32:50.000,WHO,NULL,11,389,442,"""[The new strategy] It includes 6 criteria for countries as they consider lifting restrictions that: transmission is controlled health system capacities are in place to detect, test, isolate &amp; treat every #COVID19 case &amp; trace every contact""-@DrTe",NULL,@DrTedros,#COVID19 #coronavirus,1.24972221764411E+18,https://twitter.com/WHO/status/1249722217644113923,NULL,NULL,NULL
2020-04-13 15:32:49.000,WHO,NULL,9,103,167,"""To support countries in making these decisions, WHO will tomorrow be publishing its updated strategic advice. The new strategy summarizes what we鈥檝e learned and charts the way forward""-@DrTedros #COVID19 #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.24972221603351E+18,https://twitter.com/WHO/status/1249722216033517573,NULL,NULL,NULL
2020-04-13 15:27:37.000,WHO,NULL,10,113,249,"""As I've said many times, physical distancing restrictions are only part of the equation & there are many other basic public health measures that need to be put in place""-@DrTedros #COVID19 #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.24972090777137E+18,https://twitter.com/WHO/status/1249720907771379713,NULL,NULL,NULL
2020-04-13 15:26:37.000,WHO,NULL,9,105,222,"""Meanwhile, schools have closed for an estimated 1.4 billion children. This has halted their education, opened some to increased risk of abuse, and deprived many of their primary source of food""-@DrTedros #COVID19 #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.24972065567693E+18,https://twitter.com/WHO/status/1249720655676936192,NULL,NULL,NULL
2020-04-13 15:26:37.000,WHO,NULL,14,153,260,"How do you survive a lockdown when you depend on your daily labor to eat? News reports from around the world describe how many people are in danger of being left without access to food"-@DrTedros #COVID19 #coronavirus,NULL,@DrTedros,#COVID19 #coronavirus,1.24972065383976E+18,https://twitter.com/WHO/status/1249720653839769602,NULL,NULL,NULL
2020-04-13 15:24:19.000,WHO,NULL,11,76,177,"""But while some countries are considering how to ease restrictions, others are considering whether to introduce them 鈥?especially many low- and middle-income countries in Africa, Asia and Latin America""-@DrTedros #COVID19 #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.24972007462736E+18,https://twitter.com/WHO/status/1249720074627362816,NULL,NULL,NULL
2020-04-13 15:23:46.000,WHO,NULL,12,165,273,"""That means control measures must be lifted slowly, and with control. It cannot happen all at once. Control measures can only be lifted if the right public health measures are in place, including significant capacity for contact tracing""-@DrTedros #COVID1",NULL,@DrTedros,#COVID19 #coronavirus,1.24971993944081E+18,https://twitter.com/WHO/status/1249719939440816128,NULL,NULL,NULL
